"","tract","population"
"1",101,3031
"2",102,4569
"3",300,3173
"4",601,4641
"5",603,2749
"6",1100,2027
"7",1700,2335
"8",2200,1427
"9",2400,2250
"10",2700,2583
"11",3200,1812
"12",3300,2138
"13",3800,4768
"14",5901,3166
"15",5902,3198
"16",6800,3828
"17",7700,2618
"18",7801,1693
"19",8100,3394
"20",8200,4534
"21",8300,2221
"22",8400,2720
"23",8500,4396
"24",9500,3083
"25",9600,3436
"26",10600,2756
"27",10700,2435
"28",11000,3504
"29",11703,4041
"30",11704,3168
"31",11800,4460
"32",11998,3980
"33",12001,5645
"34",12003,4972
"35",12101,3157
"36",12102,2819
"37",100200,3543
"38",100400,2961
"39",100500,1921
"40",100700,3025
"41",100800,3846
"42",100900,4630
"43",101200,4649
"44",101300,1604
"45",101600,2437
"46",101800,3828
"47",101900,2841
"48",102000,2229
"49",102100,2260
"50",102300,1347
"51",102500,2813
"52",102600,1920
"53",102800,2835
"54",102900,1148
"55",103000,1468
"56",103100,2038
"57",103400,2665
"58",103600,2084
"59",103700,3015
"60",103900,2232
"61",104000,6489
"62",104100,3211
"63",104400,2097
"64",104800,8094
"65",104900,9980
"66",105100,2651
"67",105201,2717
"68",105204,2293
"69",105400,3527
"70",105500,3733
"71",105600,3971
"72",105700,2725
"73",106000,3339
"74",106200,3499
"75",106400,1821
"76",106500,4225
"77",106600,2332
"78",106700,4913
"79",106900,2724
"80",107000,4063
"81",107400,1726
"82",107500,1988
"83",107600,3503
"84",108000,3294
"85",108600,2880
"86",108700,3274
"87",108800,3786
"88",108900,2280
"89",109000,1745
"90",109100,4292
"91",109200,3414
"92",109300,3992
"93",109400,2161
"94",109700,2252
"95",109800,4038
"96",109900,3784
"97",110000,1673
"98",110100,2735
"99",110200,3522
"100",110400,2733
"101",110500,4694
"102",110800,4194
"103",110900,3374
"104",111100,3192
"105",111200,2900
"106",111300,4732
"107",111400,3916
"108",111500,5308
"109",111600,3014
"110",125600,2898
"111",125700,3496
"112",125800,4782
"113",125900,4269
"114",126000,4727
"115",126100,4938
"116",126200,4291
